Dt,Adj Close,Volume,SMAVG (15)
10/11/2016,1264.615,1018542016,1054819904
10/12/2016,1265.883,837699072,1037976320
10/13/2016,1261.397,1012449024,1035955072
10/14/2016,1261.094,956693376,1031062528
10/17/2016,1257.556,842002624,1022855872
10/18/2016,1265.322,865674816,1012583232
10/19/2016,1268.568,943651712,1004054976
10/20/2016,1266.474,977560000,994027840
10/21/2016,1266.238,1046633024,968481920
10/24/2016,1272.428,923588672,965390400
10/25/2016,1266.563,955402496,961965376
10/26/2016,1263.294,1020486016,952366912
10/27/2016,1258.034,1143448960,965233920
10/28/2016,1254.656,1139805952,966894720
10/31/2016,1255.419,1234147968,994519040
11/1/2016,1246.315,1257383936,1010441856
11/2/2016,1236.994,1202221952,1034743360
11/3/2016,1231.618,1131565952,1042684480
11/4/2016,1230.73,1163213056,1056452480
11/7/2016,1258.006,1142635008,1076494592
11/8/2016,1262.543,1047206976,1088596736
11/9/2016,1278.877,1780411008,1144380672
11/10/2016,1282.371,1781543040,1197979648
11/11/2016,1283.939,1414594944,1222510336
11/14/2016,1286.682,1402973056,1254469376
11/15/2016,1295.716,1242385024,1273601536
11/16/2016,1293.945,1076985984,1277368192
11/17/2016,1300.417,1047265024,1270955904
11/18/2016,1298.205,1189086976,1274241280
11/21/2016,1307.606,1039187008,1261243904
11/22/2016,1311.424,1079830016,1249406976
11/23/2016,1313.44,946464576,1232356480
11/25/2016,1318.555,469087616,1188191232
11/28/2016,1310.312,996665984,1177088128
11/29/2016,1311.742,1107639040,1174755072
11/30/2016,1308.292,1823672064,1226519424
12/1/2016,1303.067,1378873984,1199750272
12/2/2016,1303.581,1085510016,1153348096
12/5/2016,1312.963,1132918016,1134569600
12/6/2016,1318.969,1069908992,1112365312
12/7/2016,1335.458,1252647936,1113049600
12/8/2016,1340.478,1203878016,1121508992
12/9/2016,1346.952,1063102016,1122564864
12/12/2016,1343.585,1160577024,1120664192
12/13/2016,1351.161,1117629056,1125893632
12/14/2016,1339.329,1223372032,1135463040
12/15/2016,1344.786,1186333056,1151454336
12/16/2016,1342.686,2950113024,1316856064
12/19/2016,1345.87,963103232,1314618496
12/20/2016,1351.503,985127104,1306451072
12/21/2016,1347.636,836114112,1240613888
12/22/2016,1343.772,880830528,1207410944
12/23/2016,1346.281,604451200,1175340416
12/27/2016,1349.624,585595072,1138852096
12/28/2016,1337.705,726985600,1115990656
12/29/2016,1337.687,677905280,1077674368
12/30/2016,1331.717,977613568,1062590144
1/3/2017,1342.687,1166147968,1069459840
1/4/2017,1352.977,1148936960,1068683840
1/5/2017,1350.306,1090054016,1066845504
1/6/2017,1354.052,925427904,1046982592
1/9/2017,1348.744,1022976000,1036092096
1/10/2017,1350.43,1114424960,913712896
1/11/2017,1354.04,1039942016,918835456
1/12/2017,1350.305,903743616,913409920
1/13/2017,1353.899,890962688,917066496
1/17/2017,1348.117,1015788032,926063680
1/18/2017,1351.189,898938688,945696128
1/19/2017,1345.579,915638016,967699008
1/20/2017,1350.103,1170765952,997284352
1/23/2017,1346.591,923782016,1013676160
1/24/2017,1357.129,1017926976,1016363712
1/25/2017,1367.987,1061153024,1009364032
1/26/2017,1366.366,1012294976,1000254592
1/27/2017,1364.487,914585088,988556672
1/30/2017,1355.201,1050059008,996865408
1/31/2017,1355.473,1362968960,1019531584
2/1/2017,1355.532,1138254976,1021120256
2/2/2017,1356.183,1084669952,1024102144
2/3/2017,1367.291,1029172992,1032464064
2/6/2017,1363.749,935406528,1035427008
2/7/2017,1363.301,1012262976,1035192000
2/8/2017,1364.117,1035918016,1044323968
2/9/2017,1373.247,1022753984,1051465024
2/10/2017,1378.575,979411776,1038708096
2/13/2017,1385.266,958751616,1041039360
2/14/2017,1390.63,1004515968,1040145344
2/15/2017,1397.431,1029593024,1038041344
2/16/2017,1395.785,1024792000,1038874432
2/17/2017,1398.038,1196272000,1057653568
2/21/2017,1406.777,1064080000,1058588288
2/22/2017,1404.547,992054720,1033860672
2/23/2017,1403.652,1087001984,1030443840
2/24/2017,1405.6,1094328960,1031087744
2/27/2017,1408.575,1039811008,1031796992
2/28/2017,1402.828,1532075008,1071574848
3/1/2017,1422.328,1289984000,1090089600
3/2/2017,1412.759,1029516032,1089662848
3/3/2017,1413.548,982471808,1086977280
3/6/2017,1408.132,972635776,1086525568
3/7/2017,1403.252,973433280,1087504384
3/8/2017,1399.342,1034806016,1089523712
3/9/2017,1399.369,988254272,1086767744
3/10/2017,1404.043,1043438976,1088010880
3/13/2017,1405.143,882892416,1067118976
3/14/2017,1400.085,877821568,1054701696
